Date,Open,High,Low,Close,Volume,Adj Close
2015-04-22,163.809998,164.889999,162.570007,164.669998,2228800,161.443609
2015-04-21,165.649994,165.699997,163.619995,164.00,1970500,160.786738
2015-04-20,163.00,165.389999,162.729996,164.509995,2394200,161.28674
2015-04-17,164.529999,164.539993,161.130005,161.710007,3063500,158.541613
2015-04-16,165.729996,166.649994,165.100006,165.889999,1662800,162.639707
2015-04-15,166.720001,167.339996,165.860001,166.440002,1995800,163.178933
2015-04-14,165.320007,166.479996,164.169998,165.990005,1914300,162.737753
2015-04-13,166.759995,167.360001,165.600006,165.839996,1860400,162.590683
2015-04-10,167.50,167.699997,166.220001,167.070007,1501900,163.796595
2015-04-09,166.25,167.179993,165.080002,166.789993,1680100,163.522067
2015-04-08,166.210007,167.220001,165.210007,166.270004,1754400,163.012266
2015-04-07,165.399994,167.570007,165.279999,166.210007,2479500,162.953444
2015-04-06,161.660004,165.990005,161.399994,165.479996,2560300,162.237736
2015-04-02,163.380005,163.970001,162.119995,162.800003,1852600,159.610253
2015-04-01,164.289993,164.539993,161.899994,162.520004,2148100,159.33574
2015-03-31,165.410004,166.00,164.619995,164.949997,2081300,161.718122
2015-03-30,164.199997,166.770004,164.199997,166.050003,1684000,162.796575
2015-03-27,162.360001,163.899994,162.020004,163.50,1722600,160.296535
2015-03-26,162.00,163.369995,161.210007,162.589996,2050700,159.404361
2015-03-25,166.240005,166.520004,162.660004,162.699997,2540900,159.512206
2015-03-24,165.580002,167.649994,165.529999,166.320007,2091000,163.061289
2015-03-23,166.830002,166.910004,165.830002,166.130005,2157300,162.87501
2015-03-20,166.089996,167.130005,165.389999,166.490005,4371800,163.227957
2015-03-19,166.160004,166.210007,164.850006,165.660004,1953500,162.414217
2015-03-18,163.160004,166.949997,162.050003,166.470001,3062400,163.208344
2015-03-17,165.520004,165.529999,163.380005,164.229996,2557900,161.012228
2015-03-16,163.580002,166.270004,163.580002,166.210007,2111200,162.953444
2015-03-13,164.020004,164.389999,161.779999,162.740005,2284700,159.551431
2015-03-12,162.589996,164.520004,162.570007,164.470001,1715000,161.247531
2015-03-11,162.699997,163.220001,161.660004,161.729996,1894300,158.56121
2015-03-10,164.809998,164.860001,162.25,162.259995,2564600,159.080825
2015-03-09,164.720001,166.779999,164.509995,166.369995,1608100,163.110298
2015-03-06,166.50,166.770004,164.009995,164.360001,2114400,161.139685
2015-03-05,167.210007,167.699997,166.690002,167.570007,1547200,164.286798
2015-03-04,168.259995,168.259995,166.460007,167.160004,1575700,163.884828
2015-03-03,169.570007,169.600006,167.360001,168.270004,2232400,164.97308
2015-03-02,168.160004,170.50,168.119995,170.50,2223100,167.159383
2015-02-27,169.660004,169.75,168.559998,168.649994,1946000,165.345624
2015-02-26,168.850006,169.979996,168.639999,169.610001,1789400,166.286822
2015-02-25,168.970001,169.660004,168.619995,168.889999,2019100,165.580927
2015-02-24,168.270004,169.25,168.070007,169.119995,1770300,165.806417
2015-02-23,168.139999,168.869995,167.699997,168.809998,1836000,165.502493
2015-02-20,166.740005,168.270004,165.130005,168.119995,2416600,164.82601
2015-02-19,167.399994,167.550003,166.580002,167.089996,1648800,163.816192
2015-02-18,166.919998,167.509995,166.009995,167.399994,1552000,164.120116
2015-02-17,165.940002,166.919998,165.089996,166.919998,2100900,163.649525
2015-02-13,165.899994,166.619995,165.330002,165.940002,1792000,162.68873
2015-02-12,164.929993,165.949997,164.850006,165.910004,1615700,162.659319
2015-02-11,164.520004,164.970001,163.470001,164.479996,1695100,161.257329
2015-02-10,165.399994,166.139999,164.600006,165.820007,1885100,161.566167
2015-02-09,164.380005,165.539993,163.839996,164.839996,2073000,160.611296
2015-02-06,166.229996,167.679993,165.559998,166.070007,1789000,161.809753
2015-02-05,165.309998,166.589996,164.75,166.550003,2050500,162.277435
