

20MICRONS
3IINFOTECH
3MINDIA
A2ZMES
AANJANEYA
AARTIDRUGS
AARTIIND
AARVEEDEN
ABAN
ABB
ABCIL
ABGSHIP
ABIRLANUVO
ACC
ACE
ACKRUTI
ADANIENT
ACROPETAL
ADANIPOWER
ADFFOODS
ADHUNIK
ADORWELD
ADSL
ADVANIHOTR
ADVANTA
AEGISCHEM
AFL
AFTEK
AGCNET
AGRODUTCH
AHLEAST
AHLUCONT
AHLWEST
AHMEDFORGE
AIAENG
AICHAMP
AJANTPHARM
AJMERA
AKSHOPTFBR
AKZOINDIA
ALBK
ALCHEM
ALEMBICLTD
ALFALAVAL
ALICON
ALKALI
ALKYLAMINE
ALLCARGO
ALLSEC
ALMONDZ
ALOKTEXT
ALPHAGEO
AMAR
AMARAJABAT
ALPSINDUS
AMBIKCO
AMBUJACEM
AMDIND
AMTEKAUTO
AMTEKINDIA
ANANTRAJ
ANDHRABANK
ANDHRSUGAR
ANGIND
ANIKINDS
ANDHRACEMT
ANKURDRUGS
ANSALAPI
ANSALHSG
ANTGRAPHIC
APARINDS
APCOTEXIND
APIL
APOLLOHOSP
APOLLOTYRE
APPAPER
APTECHT
AQUA
ARCHIDPLY
ARCHIES
AREVAT&D
ARIES
ARIHANT
ARL
AROGRANITE
ARROWTEX
ARSHIYA
ARSSINFRA
ARVIND
ASAHIINDIA
ASAL
ASHAPURMIN
ASHCONIUL
ASHIANA
ASHIMASYN
ASHOKA
ASHOKLEY
ASIANELEC
ASIANHOTNR
ASIANPAINT
ASIANTILES
ASIL
ASSAMCO
ASTEC
ASTERSILI
ASTRAL
ASTRAMICRO
ASTRAZEN
ATFL
ATLANTA
ATLASCYCLE
ATNINTER
ATUL
AURIONPRO
AUROPHARMA
AUSOMENT
AUSTRAL
AUTOAXLES
AUTOIND
AUTOLITIND
AVANTI
AVENTIS
AVTNPL
AXISBANK
AXIS-IT&T
BAGFILMS
BAJAJ-AUTO
BAJAJCORP
BAJAJELEC
BAJAJFINSV
BAJAJHIND
BAJAJHLDNG
BAJFINANCE
BALAJITELE
BALAMINES
BALKRISIND
BALLARPUR
BALMLAWRIE
BALPHARMA
BALRAMCHIN
BANARISUG
BANCOINDIA
BANG
BANKBARODA
BANKINDIA
BANSWRAS
BARTRONICS
BASF
BASML
BATAINDIA
BATLIBOI
BBL
BBTC
BEDMUTHA
BEL
BELLCERATL
BEML
BEPL
BERGEPAINT
BFINVEST
BFUTILITIE
BGRENERGY
BHAGWATIHO
BHAGYNAGAR
BHARATFORG
BHARATGEAR
BHARATRAS
BHARTIARTL
BHARTISHIP
BHEL
BHUSANSTL
BIL
BILPOWER
BINANIIND
BINDALAGRO
BIOCON
BIRLACORPN
BIRLACOT
BIRLAERIC
BIRLAMONEY
BIRLAPOWER
BLBLIMITED
BLISSGVS
BLKASHYAP
BLUECHIP
BLUECOAST
BLUEDART
BLUESTARCO
BLUESTINFO
BOC
BOMDYEING
BOSCHLTD
BPCL
BPL
BRANDHOUSE
BRFL
BRIGADE
BRITANNIA
BROADCAST
BSELINFRA
BSL
BSTRANSCOM
BURNPUR
BVCL
CADILAHC
CAIRN
CALSOFT
CAMBRIDGE
CAMLIN
CANBK
CANDC
CANFINHOME
CANTABIL
CARBORUNIV
CAROLINFO
CASTROL
CCCL
CCL
CEATLTD
CEBBCO
CELESTIAL
CENTENKA
CENTEXT
CENTRALBK
CENTUM
CENTURYPLY
CENTURYTEX
CERA
CESC
CHAMBLFERT
CHEMFALKAL
CHEMPLAST
CHENNPETRO
CHESLINTEX
CHETTINAD
CHOLAFIN
CILNOVA
CINEMAX
CINEVISTA
CIPLA
CLASSIC
CLNINDIA
CLUTCHAUTO
CMAHENDRA
CMC
COALINDIA
COLPAL
CONCOR
CONSOFINVT
CORAL-HUB
CORDSCABLE
COREPROTEC
COROMANDEL
CORPBANK
COSMOFILMS
COX&KINGS
CPIL
CREATIVEYE
CRESTANI
CREWBOS
CRISIL
CROMPGREAV
CRONIMET
CTE
CUB
CUBEXTUB
CUMMINSIND
CURATECH
CYBERMEDIA
CYBERTECH
DAAWAT
DABUR
DALMIASUG
DATAMATICS
DBCORP
DBREALTY
DCB
DCHL
DCM
DCMSRMCONS
DCW
DECCANCE
DECOLIGHT
DEEPAKFERT
DEEPAKNTR
DEEPIND
DELTACORP
DELTAMAGNT
DEN
DENABANK
DENORA
DEWANHOUS
DHAMPURSUG
DHANBANK
DHANUKA
DHANUS
DHARSUGAR
DHUNINV
DIAPOWER
DICIND 
DIGJAM
DISHMAN
DISHTV
DIVISLAB
DLF
DLINKINDIA
DOLPHINOFF
DONEAR
DPSCLTD
DPTL
DQE
DREDGECORP
DRREDDY
DSKULKARNI
DUNCANSIND
DWARKESH
DYNAMATECH
DYNASYS
EASTSILK
EASUNREYRL
ECEIND
ECLERX
EDELWEISS
EDL
EDSERV
EDUCOMP
EICHERMOT
EIDPARRY
EIHAHOTELS
EIHOTEL
EIMCOELECO
EKC
ELDERPHARM
ELECON
ELECTCAST
ELECTHERM
ELGIEQUIP
EMAMIINFRA
EMAMILTD
EMCO
EMKAY
EMMBI
ENERGYDEV
ENGINERSIN
ENIL
ENTEGRA
ERAINFRA
EROSMEDIA
ESABINDIA
ESCORTS
ESL
ESSAROIL
ESSARPORTS
ESSDEE
ESSELPACK
ESTER
EUROCERA
EUROMULTI
EUROTEXIND
EVEREADY
EVERESTIND
EVERONN
EVINIX
EXCELCROP
EXCELINDUS
EXCELINFO
EXIDEIND
FACT
FAGBEARING
FAME
FARMAXIND
FCH
FCSSOFT
FDC
FEDDERLOYD
FEDERALBNK
FIEMIND
FINANTECH 
FINCABLES
FINPIPE
FIRSTLEASE 
FIRSTWIN
FKONCO
FMGOETZE
FORTIS
FOSECOIND
FOURSOFT
FSL
FUTUREVENT
GABRIEL
GAEL
GAIL
GAL
GALLANTT
GALLISPAT
GAMMNINFRA
GAMMONIND
GANDHITUBE
GANESHHOUC
GARDENSILK
GARWALLROP
GLOBOFFS
GATI
GDL
GEECEE
GEINDSYS
GEMINI
GENESYS
GENUSPOWER
GEODESIC
GEOJITBNPP
GEOMETRIC
GESHIP
GHCL
GICHSGFIN
GILLANDERS
GILLETTE
GINNIFILA
GIPCL
GISOLUTION
GITANJALI
GKWLIMITED
GLAXO
GLENMARK
GLFL
GLOBALVECT
GLOBUSSPR
